MINERAL HARDENED_DIAMOND
MASTIFF GROWTH 
FLAME_BREAKER HEAT
ARMOR_OF_YOG FLAME_BREAKER
REVENANT ZOMBIE
FROZEN_BLAZE BLAZE
ELEGANT_TUXEDO CHEAP_TUXEDO
ELEGANT_TUXEDO FANCY_TUXEDO
FANCY_TUXEDO CHEAP_TUXEDO
SHARK_SCALE SPONGE
DIAMOND_HUNTER BRONZE_HUNTER
DIAMOND_HUNTER SILVER_HUNTER
DIAMOND_HUNTER GOLD_HUNTER
GOLD_HUNTER SILVER_HUNTER
GOLD_HUNTER BRONZE_HUNTER
SILVER_HUNTER BRONZE_HUNTER
VANQUISHED CRIMSON
FERMENTO MELON
FERMENTO CROPIE
FERMENTO SQUASH


BAT_PERSON SPOOKY
NUTCRACKER SNOW_SUIT
POWER_WITHER GOLDORS_ARMOR
POWER_WITHER STORMS_ARMOR
POWER_WITHER MAXORS_ARMOR
VANQUISHED BLAZE_BELT

GLACIAL_SCYTHE FROZEN_SCYTHE
VOIDEDGE_KATANA VOIDWALKER_KATANA
VORPAL_KATANA VOIDEDGE_KATANA
ATOMSPLIT_KATANA VORPAL_KATANA
ATOMSPLIT_KATANA VOIDWALKER_KATANA
ATOMSPLIT_KATANA VOIDEDGE_KATANA
ASPECT_OF_THE_VOID ASPECT_OF_THE_END
REAPER_SWORD REVENANT_SWORD
REVENANT_SWORD REAPER_SWORD
AXE_OF_THE_SHREDDED REAPER_SWORD
ORNATE_ZOMBIE_SWORD ZOMBIE_SWORD
FLORID_ZOMBIE_SWORD ORNATE_ZOMBIE_SWORD
FLORID_ZOMBIE_SWORD ZOMBIE_SWORD
POOCH_SWORD SHAMAN_SWORD
SILK_EDGE_SWORD LEAPING_SWORD
VOODOO_DOLL_WILTED VOODOO_DOLL



HEARTFIRE_DAGGER BURSTFIRE_DAGGER
HEARTFIRE_DAGGER FIREDUST_DAGGER
BURSTFIRE_DAGGER FIREDUST_DAGGER



HEARTMAW_DAGGER BURSTMAW_DAGGER
HEARTMAW_DAGGER MAWDUST_DAGGER
BURSTMAW_DAGGER MAWDUST_DAGGER

VAMPIRE_WITCH_MASK VAMPIRE_MASK
VAMPIRE_WITCH_MASK WITCH_MASK
WITCH_MASK VAMPIRE_MASK

RANCHERS_BOOTS FARMER_BOOTS
TREECAPITATOR_AXE JUNGLE_AXE

PLASMAFLUX_POWER_ORB OVERFLUX_POWER_ORB
PLASMAFLUX_POWER_ORB MANA_FLUX_POWER_ORB
